location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Ciudad Jardín,"40.45004385318866, -3.6712841871122457",Sunny room with balcony in pretty family house,Private room,26,6,7,179,2
 Trafalgar,"40.43042274619744, -3.701693596173804",Apartamento muy cuco en el barrio de Chamberí,Entire home/apt,57,5,1,0,1
 Castellana,"40.43057627460486, -3.6869397877080177",Design apartment in Heart of Madrid,Entire home/apt,190,3,3,179,2
 Universidad,"40.42584028788459, -3.7030496318151873",Trendy hip Malasaña duplex  for art&design lovers,Entire home/apt,75,22,5,364,2
 Justicia,"40.42397401534791, -3.694254168912872",MADRID LUXURY & DESIGN,Entire home/apt,180,87,2,0,2
 Universidad,"40.424728975504905, -3.7041549428376483",BEST BUDGET ROOM TO VISIT MADRID# 3,Private room,15,41,1,364,3
 Justicia,"40.42069053394367, -3.7003165890606877",Beautiful penthouse with terrace in Gran Via,Entire home/apt,79,27,2,365,1
 Universidad,"40.424226300761006, -3.70496046879015","The treasure of Malasaña, next to Gran Via",Entire home/apt,100,121,2,0,1
 Rios Rosas,"40.445215043779996, -3.696943242404076",Habitacion cerca a Nuevos Ministerios,Private room,30,0,1,0,1
 Rios Rosas,"40.43788901713663, -3.6949311223539785","Cozy Studio in La Castellana, Almagro",Entire home/apt,55,3,1,0,2
 Ventas,"40.42874353578623, -3.646015241312658",THE WHITE LOFT | WIFI - FREE PARKING ON THE STREET,Entire home/apt,39,77,7,0,4
 Cármenes,"40.402806337311326, -3.744113488138957",Cómodo apartamento de dos dormitorios con garaje,Entire home/apt,75,27,2,0,1
 Corralejos,"40.465700228399925, -3.5955471370384453",Bonita habitación con baño,Private room,20,0,3,0,1
 Palacio,"40.41723613450864, -3.7092913977743396",Espejo Mágico,Entire home/apt,95,7,2,0,1
 Embajadores,"40.4069701580338, -3.7050276833913944",Habitación en Lavapiés,Private room,50,0,1,0,1
 Argüelles,"40.42670971018203, -3.718262604419894",Apartamento Zona Argüelles,Entire home/apt,90,29,3,180,1
 Embajadores,"40.41265205382703, -3.701820364075654",Fantastic stylish apartment in the heart of Madrid,Entire home/apt,100,20,1,0,1
 Cortes,"40.415281317305215, -3.693712065702468",Charming Museo del Prado II - Pool - Parking,Entire home/apt,55,8,1,1,3
 Puerta del Angel,"40.41036598277897, -3.7368070281729784",Habitación Céntrica Semana Santa,Private room,18,0,3,0,1
 Justicia,"40.42086904422025, -3.6975618213788173",The heart of it,Private room,50,0,1,0,1
 Valdeacederas,"40.464057752495, -3.7009174015015485",Ático dúplex con vistas en zona tranquila,Private room,18,61,1,0,1
 Palacio,"40.40959362019802, -3.711242431622763",Duplex con Terraza junto a la Plaza Mayor y Sol..,Entire home/apt,90,17,2,0,1
 Universidad,"40.4277318019979, -3.706813333491707",Nice little room in Malasaña,Private room,18,1,1,0,1
 Universidad,"40.42591098435918, -3.707222211626144",HABITACIÓN CENTRO MADRID NOVICIADO,Private room,50,2,1,364,3
 Aluche,"40.39221871330319, -3.761767019096945",Habitación aluche,Private room,20,11,1,0,1
 Zofío,"40.384911374509635, -3.712744133807043",Habitación buena conexión.,Private room,15,4,7,364,2
 Justicia,"40.42224479855749, -3.698359645025264",Habitación en pleno corazón de Madrid,Private room,25,41,1,0,1
 Fontarrón,"40.40122260455194, -3.645514562515081",Habitación para uso individual,Private room,15,0,2,0,1
 Arapiles,"40.43205942246201, -3.71041383754689","Hermoso apartamento en Galileo, Madrid",Private room,92,1,1,90,1
 Guindalera,"40.437297851180254, -3.6696862815521047",PANORAMICO PLAZA DE TOROS MADRID,Entire home/apt,59,98,2,0,3
 Ciudad Universitaria,"40.45489142230357, -3.7135863843794636",Apartamento grande y con vistas en frente de UCM,Entire home/apt,100,0,6,0,1
 Valdefuentes,"40.49465217252415, -3.6561008873388534",Cosy appartment with garden and terrace!,Entire home/apt,80,3,2,0,1
 Embajadores,"40.409341209550995, -3.6975685947361363",habitaciones dobles con terraza,Private room,120,0,1,0,1
 Embajadores,"40.411142822233415, -3.702326116647266",Quiet Room in the center. Tirso de Molina,Private room,16,0,20,0,1
 Moscardó,"40.38885204787557, -3.708211219637498",Cozy apartment 15 min away from Madrid center,Entire home/apt,50,3,1,0,1
 Legazpi,"40.393503197605554, -3.683736720123977",Edificio de varias plantas en Madrid,Private room,55,0,1,89,1
 Aeropuerto,"40.456326979025214, -3.5814908463471182",Ático acogedor/ Nice  Penthouse -MUY PRÓXIMO IFEMA,Entire home/apt,90,59,2,179,1
 Valdeacederas,"40.466331906298976, -3.700169242324867",Long Vacation in Madrid! Nice full apartment!!!,Entire home/apt,52,7,1,0,1
 Pacífico,"40.40713999951619, -3.6764984647020262",Fantastic apartment near by Retiro!,Entire home/apt,115,37,2,364,1
 Sol,"40.415731894449955, -3.7053624088095836",Apartamento puerta del sol,Entire home/apt,53,3,1,0,2
 Universidad,"40.422805654278285, -3.7018510266900524","Habitación en Madrid Centro, Malasaña",Private room,35,70,4,0,2
 Sol,"40.41719436190533, -3.7004647364039824",HERMOSO  APARTAMENTO # 3 GRAN VIA,Entire home/apt,55,3,15,0,1
 Sol,"40.41931589572304, -3.703615229460033",Centre of Madrid- Metro Sol-Callao-Gran Via,Private room,40,9,2,0,3
 Sol,"40.41875564229113, -3.7041116506929765",Hyper centre of Madrid - Metro Sol-Callao-Gran Via,Private room,60,17,3,90,3
 Concepción,"40.432700330817966, -3.655558386665973","SINGLE BEDROOM -close to centre, OZONE CLEANING",Private room,30,16,2,90,1
 Justicia,"40.42253677777371, -3.7009088191771236",Luxury Brand New Apartment in the Heart of Chueca,Entire home/apt,90,14,2,0,1
